term_en,short_form,definition,notes,term_zh,term_ja
Toggle State,,类似T触发器的双稳态电路状态，仅在输入变化时翻转,[红石] 来源：cubicmetre视频,切换状态,
Strong Power; Strongly Powered,,方块被中继器/比较器/红石火把等元件直接充能的状态，可激活周围6方向红石粉,[通用] 来源：gtmc-articles 刻与刻间时序,强充能,
Weak Power; Weakly Powered,,方块被红石粉指向充能的状态，仅能激活面向该方块的红石二极管,[通用] 来源：gtmc-articles 刻与刻间时序,弱充能,
Redstone Gate; Redstone Diode,,中继器和比较器的统称（源码中继承自AbstractRedstoneGateBlock）,[通用] 来源：gtmc-articles 计划刻与计划刻元件,红石门;红石二极管,
scaffoldstone,,利用脚手架方块distance状态的变化传递红石信号的技术,[通用] 来源：gtmc-articles 树电与脚电,脚电,
three-wide tileable,,宽度为 3 的可堆叠（tileable）设计，相邻单元可无间隔拼接,[存储] 来源：cubicmetre 视频；TechMC 词表 {count}-Wide Tileable={count}宽堆叠；2026-08-01 用户确认,三宽可堆叠,
hopper locking,,通过红石信号锁定漏斗使其无法传输物品的机制,[存储] 来源：cubicmetre 视频；2026-08-01 用户确认直译,漏斗锁定,
hopper counter,,使用漏斗（配合比较器/锁存）统计物品流过数量的装置,[存储] 来源：cubicmetre 视频；Carpet Mod 计数器功能；2026-08-01 用户确认,漏斗计数器,
classical redstone;conventional redstone,,传统红石：相对即时红石（instant redstone）而言，依赖游戏刻延迟的常规红石电路。,[推断：视频语境] 来源：xyw455piBUE 视频；2026-08-06 用户确认,传统红石,
seconds per cycle,,时钟速度度量：每执行一个周期所需的秒数（视频中指红石电脑极慢的时钟）。,[推断：视频语境] 来源：xyw455piBUE 视频；2026-08-06 用户确认,每周期秒数,
infinite frequency,,即时红石技术的核心特性：无 tick 延迟的无限频率更新。,[推断：视频语境] 来源：xyw455piBUE 视频；2026-08-06 用户确认,无限频率,
floating state,,即时红石技术中的红石粉悬浮状态：红石粉未收到方块更新而保持的状态。,[推断：视频语境] 来源：xyw455piBUE 视频；2026-08-06 用户确认,悬浮状态,
redirect,,红石粉改向：改变红石粉的走线方向（不改变信号强度的操作）。,[推断：视频语境] 来源：xyw455piBUE 视频；2026-08-06 用户确认,改向/重定向,
infinite updates,,即时红石技术产生的无限持续更新流。,[推断：视频语境] 来源：xyw455piBUE 视频；2026-08-06 用户确认,无限更新,
slanted rail,,斜置铁轨：呈对角倾斜状态放置的铁轨，可同时向两端发出更新。,[推断：视频语境] 来源：xyw455piBUE 视频；2026-08-06 用户确认,斜置铁轨,
update doubler,,更新倍增器：将一次更新倍增为多次更新的装置。,[推断：视频语境] 来源：xyw455piBUE 视频；2026-08-06 用户确认,更新倍增器,
update chain,,更新链：一系列由方块更新依次传播触发的链条。,[推断：视频语境] 来源：xyw455piBUE 视频；2026-08-06 用户确认,更新链,
push limit,,活塞最大可推动方块数限制（默认 12；本视频语境：服务器将推动上限设为 2，即 push limit 2 技术）。,[推断：gtmc-articles 活塞文「超过推动上限」佐证] 来源：22UL5d4G3mY 视频；2026-08-07 测试工作流阶段一 §1.3,推动上限,
module,,飞行器结构的基本重复单元。,[推断：视频上下文] 来源：22UL5d4G3mY 视频；2026-08-07 测试工作流阶段一 §1.3,模块,
tiling; tile,,将多个模块拼接排列成阵列结构的行为（如 tile engines into a backwards extension）。,[推断：视频上下文] 来源：22UL5d4G3mY 视频；2026-08-07 测试工作流阶段一 §1.3,拼接,
impulse,,脉冲：活塞伸出/收回产生的红石信号变化。,[推断：视频上下文] 来源：22UL5d4G3mY 视频；2026-08-07 测试工作流阶段一 §1.3,脉冲,
slimeless,,无黏液：不使用黏液块的（飞行器/引擎）。,[推断：slimeless engine→无黏液引擎 词根] 来源：22UL5d4G3mY 视频；2026-08-07 测试工作流阶段一 §1.3,无黏液,
slimeless tech,,无黏液技术：不使用黏液块的飞行器技术分支。,[推断：slimeless 词根扩展] 来源：22UL5d4G3mY 视频；2026-08-07 测试工作流阶段一 §1.3,无黏液技术,
component,,组件：构成飞行器的基本功能单元（如手动更新引擎、翻转组件等）。,[推断：视频上下文] 来源：22UL5d4G3mY 视频；2026-08-07 测试工作流阶段一 §1.3,组件,
tileability,,模块可拼接扩展的性质（ASR 误听 title ability）,来源：uVOFckoMdIU 视频 00:13:37；2026-08-12 用户确认,可堆叠性,
loop,,回路：引擎中信号绕行一圈回到起点的循环结构。,[推断：视频上下文] 来源：22UL5d4G3mY 视频；2026-08-07 测试工作流阶段一 §1.3,回路,
trigger,,触发（v）/触发器（n）：激活/复位飞行器移动的信号输入。,[推断：视频上下文] 来源：22UL5d4G3mY 视频；2026-08-07 测试工作流阶段一 §1.3,触发,
pulse extender,,红石通用组件：将短脉冲延长为长脉冲,来源：uVOFckoMdIU 视频 00:24:34；2026-08-12 用户确认,脉冲延长器,
burnout clock,,基于红石中继器烧毁（burnout）机制的时钟,[红石] 来源：uVOFckoMdIU_Engineering Minecraft's Fastest Shulker Farm 视频 c733；2026-08-13 用户确认,烧毁时钟,
comparator subtractions,,用比较器对信号强度做减法运算,来源：uVOFckoMdIU 视频 00:22:52；2026-08-14 用户确认,比较器减法,
instant dropper line,,可即时传输信号的投掷器链,来源：uVOFckoMdIU_Engineering Minecraft's Fastest Shulker Farm 视频 00:22:59；2026-08-13 用户确认,即时投掷器线,
cooldown clock,,控制潜影贝复制冷却的红石时钟（4 比较器结构）,来源：uVOFckoMdIU 视频 00:07:49；2026-08-12 用户确认,冷却时钟,
block streams,,被活塞推动的方块队列,来源：uVOFckoMdIU 视频 00:19:49；2026-08-14 用户确认,方块流,
